Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 18:00,"5194,00","5197,00","5198,45","5183,98","5193,39"
30/12/2020 17:00,"5191,50","5193,50","5198,60","5183,58","5193,35"
30/12/2020 16:00,"5180,00","5192,00","5199,11","5183,28","5193,35"
30/12/2020 15:00,"5170,50","5180,00","5199,82","5183,01","5193,36"
30/12/2020 14:00,"5178,50","5170,00","5201,80","5183,10","5193,50"
30/12/2020 13:00,"5179,50","5178,50","5204,98","5183,51","5193,73"
30/12/2020 12:00,"5210,50","5179,00","5207,63","5183,66","5193,89"
30/12/2020 11:00,"5221,00","5210,00","5210,49","5183,80","5194,04"
30/12/2020 10:00,"5194,00","5220,50","5210,54","5183,00","5193,88"
30/12/2020 09:00,"5196,00","5194,00","5209,54","5181,84","5193,61"
29/12/2020 18:00,"5209,49","5219,50","5211,09","5181,47","5193,60"
29/12/2020 17:00,"5187,45","5209,49","5210,25","5180,30","5193,34"
29/12/2020 16:00,"5198,97","5187,45","5210,33","5179,40","5193,18"
29/12/2020 15:00,"5189,96","5197,97","5212,62","5179,15","5193,24"
29/12/2020 14:00,"5174,94","5189,96","5214,08","5178,57","5193,19"
29/12/2020 13:00,"5195,97","5173,93","5216,50","5178,22","5193,22"
29/12/2020 12:00,"5211,49","5195,97","5220,75","5178,36","5193,42"
29/12/2020 11:00,"5190,96","5210,99","5223,23","5177,81","5193,39"
29/12/2020 10:00,"5209,99","5191,46","5224,46","5176,79","5193,22"
29/12/2020 09:00,"5234,02","5209,99","5227,76","5176,34","5193,23"
28/12/2020 18:00,"5253,55","5247,04","5229,53","5175,31","5193,07"
28/12/2020 17:00,"5246,04","5253,05","5227,78","5173,10","5192,52"
28/12/2020 16:00,"5263,56","5245,54","5225,25","5170,64","5191,91"
28/12/2020 15:00,"5275,58","5264,56","5223,23","5168,34","5191,38"
28/12/2020 14:00,"5313,13","5275,58","5219,09","5165,38","5190,64"
28/12/2020 13:00,"5305,62","5313,13","5213,44","5161,98","5189,79"
28/12/2020 12:00,"5265,57","5305,12","5203,47","5157,33","5188,55"
28/12/2020 11:00,"5210,99","5265,57","5193,31","5152,79","5187,38"
28/12/2020 10:00,"5189,96","5210,99","5186,08","5149,32","5186,59"
28/12/2020 09:00,"5182,45","5190,46","5183,59","5147,42","5186,34"
23/12/2020 18:00,"5211,99","5224,01","5182,91","5146,09","5186,30"
23/12/2020 17:00,"5205,98","5211,49","5178,80","5143,70","5185,92"
23/12/2020 16:00,"5210,99","5206,48","5175,53","5141,61","5185,67"
23/12/2020 15:00,"5220,50","5211,49","5172,43","5139,62","5185,46"
23/12/2020 14:00,"5215,49","5220,50","5168,53","5137,40","5185,20"
