Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"119250,38","119017,24","119101,84","117949,85","114317,29"
30/12/2020 16:00,"119484,34","119242,08","119110,30","117917,00","114270,06"
30/12/2020 15:00,"119511,59","119464,05","119097,12","117876,23","114220,09"
30/12/2020 14:00,"119302,88","119531,87","119060,43","117827,38","114167,38"
30/12/2020 13:00,"119545,77","119323,84","119013,29","117774,93","114113,47"
30/12/2020 12:00,"119697,16","119537,69","118982,23","117727,27","114061,10"
30/12/2020 11:00,"119792,72","119673,78","118926,68","117671,56","114006,06"
30/12/2020 10:00,"119409,85","119817,47","118851,97","117609,96","113949,10"
29/12/2020 17:00,"119401,71","119409,15","118755,42","117542,03","113890,12"
29/12/2020 16:00,"119502,21","119381,84","118690,05","117484,59","113834,65"
29/12/2020 15:00,"118993,37","119492,86","118620,87","117426,21","113778,90"
29/12/2020 14:00,"119170,74","119004,05","118533,67","117362,62","113721,48"
29/12/2020 13:00,"119185,43","119147,84","118486,64","117312,11","113668,38"
29/12/2020 12:00,"118906,97","119193,32","118420,52","117255,63","113613,31"
29/12/2020 11:00,"119596,56","118832,48","118343,24","117196,01","113557,23"
29/12/2020 10:00,"119130,06","119598,01","118294,31","117145,66","113504,22"
28/12/2020 17:00,"119089,87","119123,70","118163,94","117070,20","113442,97"
28/12/2020 16:00,"119131,88","119074,65","118067,97","117007,01","113385,88"
28/12/2020 15:00,"118920,69","119110,16","117967,30","116943,39","113328,71"
28/12/2020 14:00,"119017,45","118936,26","117853,01","116876,72","113270,60"
28/12/2020 13:00,"118402,98","119033,22","117744,69","116813,35","113213,66"
28/12/2020 12:00,"118314,33","118423,43","117615,83","116745,05","113155,17"
28/12/2020 11:00,"118601,86","118355,01","117535,07","116693,41","113102,22"
28/12/2020 10:00,"117805,56","118644,86","117453,08","116642,28","113049,43"
23/12/2020 17:00,"117800,49","117806,85","117333,90","116580,66","112993,20"
23/12/2020 16:00,"117869,79","117801,78","117286,61","116542,93","112944,82"
23/12/2020 15:00,"118165,20","117860,68","117235,09","116504,20","112896,01"
23/12/2020 14:00,"118229,16","118160,81","117172,53","116462,46","112846,11"
23/12/2020 13:00,"118033,89","118239,16","117073,70","116410,21","112792,69"
23/12/2020 12:00,"117638,88","117992,34","116957,16","116353,93","112737,96"
23/12/2020 11:00,"117273,12","117627,76","116853,64","116303,52","112685,15"
23/12/2020 10:00,"116636,18","117290,05","116776,23","116262,77","112635,47"
22/12/2020 17:00,"116531,41","116636,18","116724,85","116231,16","112588,69"
22/12/2020 16:00,"116279,42","116527,57","116733,71","116218,70","112548,02"
22/12/2020 15:00,"116382,68","116277,46","116754,33","116209,20","112508,02"
22/12/2020 14:00,"116016,28","116374,03","116802,01","116207,10","112470,14"
22/12/2020 13:00,"116526,19","116003,09","116844,81","116201,96","112430,90"
22/12/2020 12:00,"116382,60","116528,37","116928,98","116208,08","112395,00"
22/12/2020 11:00,"116657,45","116334,30","116969,05","116198,23","112353,46"
22/12/2020 10:00,"115824,66","116676,46","117032,52","116194,04","112313,45"
21/12/2020 17:00,"116855,11","115822,57","117068,13","116179,20","112269,60"
21/12/2020 16:00,"116875,18","116863,57","117192,68","116190,17","112233,89"
21/12/2020 15:00,"116164,70","116883,86","117225,59","116169,45","112187,36"
21/12/2020 14:00,"116179,83","116158,45","117259,77","116147,47","112140,16"
21/12/2020 13:00,"115843,19","116191,13","117369,90","116147,13","112099,78"
