Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"28,40","28,34","28,23","27,95","26,78"
30/12/2020 16:00,"28,40","28,40","28,22","27,94","26,77"
30/12/2020 15:00,"28,36","28,40","28,20","27,93","26,75"
30/12/2020 14:00,"28,25","28,35","28,18","27,91","26,73"
30/12/2020 13:00,"28,32","28,25","28,16","27,90","26,72"
30/12/2020 12:00,"28,34","28,33","28,15","27,89","26,70"
30/12/2020 11:00,"28,22","28,33","28,14","27,88","26,69"
30/12/2020 10:00,"28,35","28,22","28,12","27,86","26,67"
29/12/2020 17:00,"28,08","28,27","28,11","27,85","26,65"
29/12/2020 16:00,"28,13","28,09","28,09","27,84","26,64"
29/12/2020 15:00,"28,06","28,13","28,09","27,83","26,62"
29/12/2020 14:00,"28,15","28,05","28,09","27,82","26,61"
29/12/2020 13:00,"28,22","28,15","28,09","27,81","26,59"
29/12/2020 12:00,"28,27","28,21","28,08","27,80","26,58"
29/12/2020 11:00,"28,31","28,27","28,07","27,79","26,56"
29/12/2020 10:00,"28,38","28,31","28,05","27,78","26,54"
28/12/2020 17:00,"28,28","28,18","28,02","27,76","26,53"
28/12/2020 16:00,"28,33","28,29","28,01","27,75","26,51"
28/12/2020 15:00,"28,31","28,33","27,98","27,73","26,49"
28/12/2020 14:00,"28,39","28,31","27,95","27,71","26,47"
28/12/2020 13:00,"28,32","28,39","27,91","27,69","26,45"
28/12/2020 12:00,"28,25","28,33","27,86","27,67","26,44"
28/12/2020 11:00,"28,27","28,26","27,82","27,65","26,42"
28/12/2020 10:00,"28,36","28,27","27,77","27,63","26,40"
23/12/2020 17:00,"27,98","27,95","27,72","27,61","26,38"
23/12/2020 16:00,"28,09","27,98","27,70","27,60","26,36"
23/12/2020 15:00,"28,08","28,08","27,67","27,59","26,35"
23/12/2020 14:00,"28,19","28,13","27,63","27,58","26,33"
23/12/2020 13:00,"28,03","28,19","27,58","27,56","26,31"
23/12/2020 12:00,"28,03","28,03","27,52","27,54","26,29"
23/12/2020 11:00,"27,40","28,03","27,47","27,52","26,28"
23/12/2020 10:00,"27,43","27,41","27,41","27,51","26,26"
22/12/2020 17:00,"27,29","27,28","27,41","27,51","26,25"
22/12/2020 16:00,"27,28","27,29","27,42","27,52","26,24"
22/12/2020 15:00,"27,19","27,28","27,44","27,53","26,22"
22/12/2020 14:00,"27,12","27,18","27,45","27,53","26,21"
22/12/2020 13:00,"27,17","27,14","27,48","27,54","26,20"
22/12/2020 12:00,"27,17","27,17","27,51","27,56","26,20"
22/12/2020 11:00,"27,36","27,17","27,55","27,57","26,19"
22/12/2020 10:00,"27,20","27,37","27,58","27,58","26,18"
21/12/2020 17:00,"27,36","27,02","27,61","27,59","26,16"
21/12/2020 16:00,"27,43","27,36","27,66","27,60","26,15"
21/12/2020 15:00,"27,02","27,42","27,70","27,61","26,14"
21/12/2020 14:00,"27,04","27,01","27,72","27,62","26,13"
21/12/2020 13:00,"27,09","27,04","27,79","27,64","26,12"
21/12/2020 12:00,"27,16","27,09","27,87","27,65","26,11"
21/12/2020 11:00,"27,16","27,16","27,95","27,67","26,10"
21/12/2020 10:00,"27,19","27,16","28,03","27,69","26,09"
18/12/2020 17:00,"28,24","28,10","28,11","27,70","26,08"
18/12/2020 16:00,"28,24","28,23","28,11","27,69","26,06"
18/12/2020 15:00,"28,21","28,25","28,10","27,67","26,04"
18/12/2020 14:00,"28,17","28,21","28,09","27,66","26,02"
18/12/2020 13:00,"28,15","28,17","28,08","27,64","25,99"
18/12/2020 12:00,"28,13","28,15","28,07","27,62","25,97"
18/12/2020 11:00,"28,13","28,13","28,06","27,61","25,95"
18/12/2020 10:00,"28,10","28,13","28,05","27,59","25,93"
17/12/2020 17:00,"28,17","28,24","28,04","27,58","25,91"
17/12/2020 16:00,"28,13","28,16","28,02","27,55","25,88"
17/12/2020 15:00,"28,20","28,12","28,01","27,54","25,86"
17/12/2020 14:00,"28,29","28,19","28,00","27,52","25,84"
17/12/2020 13:00,"28,30","28,29","27,98","27,50","25,81"
17/12/2020 12:00,"28,25","28,29","27,95","27,47","25,79"
