Data,Abertura,Fechamento,Média Móvel E [21],Média Móvel E [66],Média Móvel E [200]
30/12/2020 17:00,"87,29","87,45","87,25","86,66","82,04"
30/12/2020 16:00,"87,46","87,28","87,23","86,64","81,98"
30/12/2020 15:00,"87,19","87,47","87,22","86,62","81,93"
30/12/2020 14:00,"87,28","87,19","87,20","86,59","81,88"
30/12/2020 13:00,"87,03","87,28","87,20","86,57","81,82"
30/12/2020 12:00,"87,02","87,04","87,19","86,55","81,77"
30/12/2020 11:00,"87,05","87,04","87,20","86,54","81,71"
30/12/2020 10:00,"87,19","87,05","87,22","86,52","81,66"
29/12/2020 17:00,"87,18","87,07","87,24","86,50","81,61"
29/12/2020 16:00,"87,19","87,20","87,25","86,49","81,55"
29/12/2020 15:00,"86,97","87,20","87,26","86,46","81,50"
29/12/2020 14:00,"87,29","86,96","87,26","86,44","81,44"
29/12/2020 13:00,"87,25","87,28","87,29","86,43","81,38"
29/12/2020 12:00,"86,59","87,25","87,30","86,40","81,32"
29/12/2020 11:00,"87,41","86,60","87,30","86,37","81,26"
29/12/2020 10:00,"87,97","87,41","87,37","86,37","81,21"
28/12/2020 17:00,"87,53","87,31","87,37","86,33","81,15"
28/12/2020 16:00,"87,81","87,55","87,37","86,30","81,09"
28/12/2020 15:00,"87,94","87,81","87,35","86,27","81,02"
28/12/2020 14:00,"88,06","87,93","87,31","86,22","80,95"
28/12/2020 13:00,"87,93","88,05","87,25","86,17","80,88"
28/12/2020 12:00,"88,26","87,95","87,17","86,11","80,81"
28/12/2020 11:00,"87,99","88,27","87,09","86,05","80,74"
28/12/2020 10:00,"87,79","87,96","86,97","85,98","80,66"
23/12/2020 17:00,"86,94","87,36","86,87","85,92","80,59"
23/12/2020 16:00,"87,12","86,94","86,82","85,88","80,52"
23/12/2020 15:00,"87,15","87,16","86,81","85,85","80,46"
23/12/2020 14:00,"87,21","87,15","86,77","85,81","80,39"
23/12/2020 13:00,"87,17","87,21","86,74","85,76","80,32"
23/12/2020 12:00,"86,68","87,18","86,69","85,72","80,25"
23/12/2020 11:00,"86,80","86,70","86,64","85,67","80,18"
23/12/2020 10:00,"86,53","86,79","86,63","85,64","80,12"
22/12/2020 17:00,"86,71","86,94","86,62","85,61","80,05"
22/12/2020 16:00,"86,20","86,72","86,59","85,57","79,98"
22/12/2020 15:00,"86,05","86,21","86,57","85,53","79,91"
22/12/2020 14:00,"85,73","86,05","86,61","85,51","79,85"
22/12/2020 13:00,"85,73","85,74","86,66","85,49","79,79"
22/12/2020 12:00,"86,07","85,72","86,76","85,49","79,73"
22/12/2020 11:00,"86,07","86,09","86,86","85,48","79,67"
22/12/2020 10:00,"86,86","86,13","86,94","85,46","79,60"
21/12/2020 17:00,"87,22","86,86","87,02","85,44","79,54"
21/12/2020 16:00,"87,18","87,21","87,03","85,40","79,46"
21/12/2020 15:00,"86,81","87,18","87,02","85,34","79,39"
21/12/2020 14:00,"86,77","86,82","87,00","85,28","79,31"
21/12/2020 13:00,"86,73","86,77","87,02","85,24","79,23"
21/12/2020 12:00,"86,70","86,71","87,04","85,19","79,16"
21/12/2020 11:00,"86,79","86,73","87,08","85,14","79,08"
21/12/2020 10:00,"86,15","86,79","87,11","85,09","79,00"
18/12/2020 17:00,"88,32","87,80","87,14","85,04","78,93"
18/12/2020 16:00,"88,19","88,33","87,08","84,96","78,84"
18/12/2020 15:00,"88,26","88,19","86,95","84,85","78,74"
18/12/2020 14:00,"88,05","88,27","86,83","84,75","78,65"
18/12/2020 13:00,"87,78","88,05","86,69","84,64","78,55"
18/12/2020 12:00,"87,62","87,80","86,55","84,54","78,45"
18/12/2020 11:00,"87,75","87,65","86,42","84,44","78,36"
18/12/2020 10:00,"87,62","87,75","86,30","84,34","78,27"
17/12/2020 17:00,"87,21","87,20","86,16","84,23","78,17"
17/12/2020 16:00,"87,21","87,20","86,05","84,14","78,08"
17/12/2020 15:00,"87,68","87,23","85,94","84,05","77,99"
17/12/2020 14:00,"87,50","87,67","85,81","83,95","77,90"
17/12/2020 13:00,"87,41","87,49","85,62","83,83","77,80"
17/12/2020 12:00,"87,03","87,41","85,44","83,72","77,70"
17/12/2020 11:00,"87,05","87,04","85,24","83,61","77,60"
17/12/2020 10:00,"86,50","87,06","85,06","83,50","77,51"
16/12/2020 17:00,"86,21","86,22","84,86","83,39","77,41"
16/12/2020 16:00,"85,16","86,21","84,72","83,31","77,32"
16/12/2020 15:00,"85,23","85,16","84,57","83,22","77,23"
16/12/2020 14:00,"84,68","85,24","84,51","83,16","77,15"
16/12/2020 13:00,"84,52","84,67","84,44","83,09","77,07"
16/12/2020 12:00,"84,62","84,54","84,42","83,04","77,00"
16/12/2020 11:00,"84,72","84,63","84,41","83,00","76,92"
16/12/2020 10:00,"84,90","84,73","84,39","82,95","76,84"
15/12/2020 17:00,"84,66","84,50","84,35","82,89","76,76"
15/12/2020 16:00,"84,54","84,64","84,34","82,84","76,69"
15/12/2020 15:00,"84,63","84,53","84,31","82,79","76,61"
15/12/2020 14:00,"84,74","84,63","84,28","82,73","76,53"
15/12/2020 13:00,"84,73","84,75","84,25","82,68","76,45"
15/12/2020 12:00,"84,80","84,72","84,20","82,61","76,36"
15/12/2020 11:00,"84,92","84,79","84,15","82,55","76,28"
15/12/2020 10:00,"84,16","84,95","84,08","82,48","76,19"
14/12/2020 17:00,"83,76","83,55","83,99","82,40","76,10"
14/12/2020 16:00,"83,92","83,76","84,04","82,37","76,03"
14/12/2020 15:00,"83,88","83,91","84,07","82,32","75,95"
14/12/2020 14:00,"83,93","83,87","84,08","82,28","75,87"
14/12/2020 13:00,"83,34","83,93","84,10","82,23","75,79"
14/12/2020 12:00,"83,79","83,35","84,12","82,17","75,71"
14/12/2020 11:00,"84,28","83,81","84,20","82,14","75,63"
14/12/2020 10:00,"85,20","84,27","84,24","82,09","75,55"
11/12/2020 17:00,"84,97","84,86","84,23","82,02","75,46"
11/12/2020 16:00,"84,80","84,99","84,17","81,93","75,37"
11/12/2020 15:00,"84,71","84,81","84,09","81,84","75,27"
11/12/2020 14:00,"84,70","84,71","84,02","81,75","75,18"
11/12/2020 13:00,"84,60","84,70","83,95","81,66","75,08"
11/12/2020 12:00,"84,79","84,59","83,87","81,56","74,98"
11/12/2020 11:00,"84,74","84,79","83,80","81,47","74,89"
11/12/2020 10:00,"84,62","84,73","83,70","81,37","74,79"
10/12/2020 17:00,"84,55","85,00","83,60","81,26","74,69"
10/12/2020 16:00,"84,50","84,58","83,46","81,15","74,58"
10/12/2020 15:00,"84,43","84,50","83,35","81,04","74,48"
10/12/2020 14:00,"84,33","84,41","83,23","80,94","74,38"
10/12/2020 13:00,"84,63","84,33","83,11","80,83","74,28"
10/12/2020 12:00,"84,61","84,64","82,99","80,72","74,18"
10/12/2020 11:00,"84,28","84,62","82,83","80,60","74,08"
10/12/2020 10:00,"83,65","84,22","82,65","80,48","73,97"
09/12/2020 17:00,"82,62","82,70","82,49","80,36","73,87"
09/12/2020 16:00,"82,63","82,62","82,47","80,29","73,78"
09/12/2020 15:00,"82,67","82,64","82,45","80,22","73,69"
09/12/2020 14:00,"83,19","82,71","82,44","80,14","73,60"
09/12/2020 13:00,"82,83","83,20","82,41","80,06","73,51"
09/12/2020 12:00,"82,52","82,82","82,33","79,97","73,41"
09/12/2020 11:00,"83,29","82,56","82,28","79,88","73,32"
09/12/2020 10:00,"83,10","83,31","82,25","79,80","73,22"
08/12/2020 17:00,"82,86","82,90","82,15","79,69","73,12"
08/12/2020 16:00,"82,75","82,86","82,07","79,59","73,02"
08/12/2020 15:00,"82,17","82,75","81,99","79,49","72,92"
08/12/2020 14:00,"82,43","82,18","81,92","79,39","72,83"
08/12/2020 13:00,"82,83","82,40","81,89","79,30","72,73"
08/12/2020 12:00,"82,34","82,82","81,84","79,21","72,63"
08/12/2020 11:00,"82,22","82,33","81,74","79,10","72,53"
08/12/2020 10:00,"82,97","82,22","81,68","79,00","72,43"
07/12/2020 17:00,"82,66","82,95","81,63","78,90","72,33"
07/12/2020 16:00,"82,19","82,67","81,49","78,77","72,23"
07/12/2020 15:00,"82,04","82,19","81,38","78,65","72,12"
07/12/2020 14:00,"82,13","82,04","81,30","78,55","72,02"
07/12/2020 13:00,"81,88","82,12","81,22","78,44","71,92"
07/12/2020 12:00,"82,41","81,87","81,13","78,32","71,82"
07/12/2020 11:00,"82,21","82,42","81,06","78,22","71,72"
07/12/2020 10:00,"82,42","82,23","80,92","78,09","71,61"
04/12/2020 17:00,"81,91","81,98","80,79","77,96","71,50"
04/12/2020 16:00,"82,25","81,91","80,67","77,84","71,40"
04/12/2020 15:00,"82,30","82,26","80,55","77,71","71,29"
04/12/2020 14:00,"82,42","82,29","80,38","77,57","71,18"
04/12/2020 13:00,"81,89","82,42","80,19","77,42","71,07"
04/12/2020 12:00,"81,26","81,89","79,96","77,27","70,96"
04/12/2020 11:00,"81,70","81,23","79,77","77,13","70,85"
04/12/2020 10:00,"80,10","81,71","79,62","77,00","70,74"
03/12/2020 17:00,"78,96","78,96","79,41","76,86","70,63"
03/12/2020 16:00,"79,20","78,96","79,46","76,79","70,55"
03/12/2020 15:00,"79,34","79,20","79,51","76,73","70,46"
03/12/2020 14:00,"79,75","79,35","79,54","76,65","70,38"
03/12/2020 13:00,"79,96","79,75","79,56","76,57","70,29"
03/12/2020 12:00,"80,08","79,97","79,54","76,47","70,19"
03/12/2020 11:00,"80,05","80,10","79,50","76,36","70,09"
03/12/2020 10:00,"81,00","80,05","79,44","76,25","69,99"
02/12/2020 17:00,"79,92","79,84","79,38","76,13","69,89"
02/12/2020 16:00,"80,04","79,92","79,33","76,02","69,79"
02/12/2020 15:00,"79,66","80,05","79,27","75,90","69,69"
02/12/2020 14:00,"80,24","79,66","79,19","75,77","69,59"
02/12/2020 13:00,"79,06","80,23","79,15","75,65","69,48"
02/12/2020 12:00,"77,72","79,07","79,04","75,51","69,38"
02/12/2020 11:00,"79,20","77,72","79,03","75,40","69,28"
02/12/2020 10:00,"80,90","79,20","79,17","75,33","69,19"
01/12/2020 17:00,"81,12","81,25","79,16","75,21","69,09"
01/12/2020 16:00,"81,06","81,12","78,95","75,02","68,97"
01/12/2020 15:00,"81,01","81,07","78,74","74,83","68,85"
01/12/2020 14:00,"80,60","81,03","78,50","74,64","68,73"
01/12/2020 13:00,"80,51","80,59","78,25","74,44","68,60"
01/12/2020 12:00,"80,59","80,50","78,02","74,26","68,48"
01/12/2020 11:00,"80,18","80,58","77,77","74,06","68,36"
01/12/2020 10:00,"79,83","80,19","77,49","73,86","68,24"
30/11/2020 17:00,"77,60","78,00","77,22","73,67","68,12"
30/11/2020 16:00,"77,52","77,59","77,14","73,53","68,02"
30/11/2020 15:00,"77,67","77,51","77,09","73,41","67,92"
30/11/2020 14:00,"77,43","77,67","77,05","73,28","67,83"
30/11/2020 13:00,"77,62","77,42","76,99","73,15","67,73"
30/11/2020 12:00,"77,61","77,62","76,95","73,02","67,63"
30/11/2020 11:00,"78,72","77,61","76,88","72,88","67,53"
30/11/2020 10:00,"78,85","78,73","76,81","72,73","67,43"
27/11/2020 17:00,"78,20","78,44","76,61","72,55","67,31"
27/11/2020 16:00,"78,20","78,17","76,43","72,36","67,20"
27/11/2020 15:00,"78,55","78,21","76,26","72,19","67,09"
27/11/2020 14:00,"78,21","78,55","76,06","72,00","66,98"
27/11/2020 13:00,"78,02","78,22","75,81","71,80","66,86"
27/11/2020 12:00,"77,26","78,05","75,57","71,60","66,75"
27/11/2020 11:00,"77,91","77,28","75,33","71,40","66,64"
27/11/2020 10:00,"77,00","77,91","75,13","71,22","66,53"
26/11/2020 17:00,"76,21","76,57","74,85","71,02","66,42"
26/11/2020 16:00,"76,27","76,21","74,68","70,84","66,31"
26/11/2020 15:00,"76,20","76,27","74,53","70,68","66,21"
26/11/2020 14:00,"75,62","76,19","74,35","70,51","66,11"
26/11/2020 13:00,"75,61","75,62","74,17","70,33","66,01"
