Id,Start,Name,Impact,Currency
360d4a26-f7f6-4ca3-aef6-3e42da721d16,01/01/2019 00:00:00,New Year's Day,NONE,BRL
712e63b7-c5fd-4415-8b93-c518a12a1f42,01/01/2019 05:00:00,New Year's Day,NONE,USD
5cb6c50d-8797-4529-9632-8857a9b4f6b1,01/02/2019 01:45:00,Caixin Manufacturing PMI,MEDIUM,CNY
daaaca04-4de2-426b-8b28-bde7bb2da56b,01/02/2019 12:00:00,HSBC PMI Manufacturing,LOW,BRL
e9277253-8511-407b-8635-19a8399fe639,01/02/2019 13:55:00,Redbook Index (YoY),LOW,USD
f6639dd4-8929-48b8-8ada-9c1acfd48fe3,01/02/2019 13:55:00,Redbook Index (MoM),LOW,USD
7f575e19-6ae0-4992-b515-8b62e364b259,01/02/2019 14:45:00,Markit Manufacturing PMI,MEDIUM,USD
4a01fc62-1587-4689-aca6-c3e8c1a6df78,01/02/2019 18:00:00,Trade Balance,LOW,BRL
cd11160e-306d-4fee-9269-0b778061f9b4,01/03/2019 12:00:00,MBA Mortgage Applications,LOW,USD
145dc1f9-b781-4100-8c5e-f3bec5dcca45,01/03/2019 12:30:00,Challenger Job Cuts,LOW,USD
808c485e-b706-47c9-aff1-20a8cc968cfb,01/03/2019 13:15:00,ADP Employment Change,MEDIUM,USD
0039a2d2-bf47-4430-a514-dc7c53a11c25,01/03/2019 13:30:00,Continuing Jobless Claims,LOW,USD
85b96924-55d2-4aef-8a45-d3037e5a3d12,01/03/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
15ba4ae0-1d30-40d8-8d30-1d58dcbce871,01/03/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
1a446598-d6ff-4ea1-a690-ffa11804f989,01/03/2019 14:45:00,ISM-NY Business Conditions Index,LOW,USD
e8c6e05f-88ca-4f9d-a17a-f7e020d85c68,01/03/2019 15:00:00,ISM Manufacturing Employment Index,MEDIUM,USD
727acd73-bc4e-4816-aa57-09cd19c22348,01/03/2019 15:00:00,ISM Manufacturing PMI,HIGH,USD
1405fae8-85a1-46bb-a1ff-8209705d8fff,01/03/2019 15:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
f8e1f7e7-7e5d-4bc7-bb78-0d5e3fcf47fc,01/03/2019 15:00:00,ISM Manufacturing New Orders Index,MEDIUM,USD
ca39c3fe-f6d0-4f47-ae7d-93105ad6df44,01/03/2019 16:30:00,4-Week Bill Auction,LOW,USD
79f6a025-7b92-4249-8ae6-d468f81b28e7,01/03/2019 20:30:00,Total Vehicle Sales,LOW,USD
f288568d-7205-497d-97ae-19b30d2ca76b,01/03/2019 21:30:00,API Weekly Crude Oil Stock,LOW,USD
0fe76d37-30c1-4ec7-8da0-0849cfce8a50,01/04/2019 01:45:00,Caixin Services PMI,MEDIUM,CNY
7494d1da-26ff-4daa-85ca-41621fac3601,01/04/2019 07:00:00,Fipe's IPC Inflation,LOW,BRL
3c6185fc-cb22-47f2-9bbf-4ed785ce5884,01/04/2019 13:30:00,Nonfarm Payrolls,HIGH,USD
82795720-301c-4450-a2b8-5373020a71f3,01/04/2019 13:30:00,Average Hourly Earnings (YoY),HIGH,USD
849e12d0-cf76-488d-bf8f-1a63cb9a7e86,01/04/2019 13:30:00,Average Weekly Hours,LOW,USD
b1a933d2-a85a-495a-b019-b6ae6c979488,01/04/2019 13:30:00,Labor Force Participation Rate,MEDIUM,USD
e0aac2d6-b91d-4411-96d0-764ad260b8d3,01/04/2019 13:30:00,Average Hourly Earnings (MoM),MEDIUM,USD
577b4d07-08c3-4aaa-b688-b8db1bf61e76,01/04/2019 13:30:00,U6 Underemployment Rate,LOW,USD
7b7d011c-f6d8-4567-94d2-672e83f799a7,01/04/2019 13:30:00,Unemployment Rate,MEDIUM,USD
9a13d429-6c08-4256-85a0-d3b6a5119962,01/04/2019 14:45:00,Markit Services PMI,MEDIUM,USD
216009ef-d3b3-4457-af3e-d04f84c30a45,01/04/2019 14:45:00,Markit PMI Composite,MEDIUM,USD
850bfc8d-8ea6-4a1b-9609-1542e2337d74,01/04/2019 15:15:00,Fed's Bostic speech,MEDIUM,USD
26f8c1fa-0904-45dc-ad55-3c8be47f5668,01/04/2019 15:15:00,Fed's Chair Powell speech,HIGH,USD
bac2c576-9f46-4c54-837b-ca508c630029,01/04/2019 15:30:00,EIA Natural Gas Storage Change,LOW,USD
fedc636a-bb46-4302-9972-a02698a61858,01/04/2019 16:00:00,EIA Crude Oil Stocks Change,LOW,USD
